timestamp,__name__,cluster,label_kubernetes_io_arch,label_node_openshift_io_os_id,label_node_role_kubernetes_io,prometheus,tenant_id,value
2022-04-14 14:54:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:54:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:55:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:55:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:56:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:56:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:57:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:57:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:58:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:58:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:59:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 14:59:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:00:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:00:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:01:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:01:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:02:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:02:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:03:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:03:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:04:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:04:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:05:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:05:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:06:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:06:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:07:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:07:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:08:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:08:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:09:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:09:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:10:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:10:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:11:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:11:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:12:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:12:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:13:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:13:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:14:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:14:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:15:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:15:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:16:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:16:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:17:22.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
2022-04-14 15:17:52.563000064+00:00,cluster:capacity_cpu_cores:sum,emea/rick,amd64,rhcos,master,openshift-monitoring/k8s,emea-rick,24
