timestamp,__name__,cluster,label_beta_kubernetes_io_instance_type,label_kubernetes_io_arch,label_node_openshift_io_os_id,label_node_role_kubernetes_io,prometheus,tenant_id,value
1649949022.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949052.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949082.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949112.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949142.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949172.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949202.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949232.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949262.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949292.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949322.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949352.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949382.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949412.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949442.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949472.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949502.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949532.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949562.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949592.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949622.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949652.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949682.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949712.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949742.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949772.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949802.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949832.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949862.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949892.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
1649949922.563,cluster:capacity_cpu_cores:sum,emea/balrog,m5.2xlarge,amd64,rhcos,master,openshift-monitoring/k8s,emea-balrog,24
